block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,778710000,76363000,4488934205.0,attack,20
2,970840000,50883890,9774406370.0,attack,21
3,1173369000,69132240,15432791860.0,normal,40
4,1062970000,39438200,21372590100.0,attack,2
5,1429249000,62363130,27827693990.0,normal,40
6,1192870000,36032130,34400165330.0,attack,25
7,1103700000,40187580,41428284455.0,attack,9
8,975880000,71858700,48763296130.0,attack,27
9,956761000,151910400,56524727505.0,normal,39
10,1086790000,67774700,64625153470.0,attack,11
11,1365327000,53371600,73185561775.0,normal,41
12,942730000,64909300,81792309985.0,attack,11
13,1025910000,36525000,91000161925.0,attack,2
14,1200000000,926600,100628565390.0,attack,30
15,877740000,86968600,110367611575.0,attack,8
16,1225000000,7605540,120767332065.0,attack,17
17,1142400000,20202020,131308784320.0,attack,5
18,1240000000,19640120,142323726335.0,attack,14
19,1116910000,17879060,153433095475.0,attack,22
20,1007470000,97229800,164983935725.0,attack,28
21,883885000,66363000,176878682345.0,attack,30
22,966780000,53776200,189197222460.0,normal,47
23,1177640000,65273030,201934257660.0,normal,38
24,1412300000,72623800,215121886085.0,normal,36
25,1229420000,76792100,228500296655.0,normal,50
26,895700000,2428100,242143275270.0,attack,24
27,934610000,61372970,256237842035.0,normal,46
28,993840000,71082470,270677248485.0,attack,30
29,1204505000,36234900,285646097760.0,attack,5
30,759040000,55840410,300625455240.0,attack,30
31,1119500000,43340500,316388713815.0,attack,11
32,1255730000,99803100,332465450185.0,normal,48
33,992060000,40180830,348568732165.0,attack,26
34,1108100000,37179460,365256885930.0,attack,8
35,1243000000,1599700,382303988875.0,attack,8
36,1090030000,126462800,399692574880.0,normal,41
37,1261470000,98818800,417574188855.0,normal,34
38,979385000,17441490,435536180940.0,attack,17
39,1158500000,19464190,454200674205.0,attack,22
40,887290000,61622060,472973582380.0,normal,38
41,1107510000,53533500,492298467145.0,attack,29
42,826190000,90683630,511714214330.0,attack,27
43,1190360000,33437420,531770122625.0,attack,27
44,1146000000,19347280,552096732870.0,attack,29
45,961100000,79585700,572594163650.0,attack,8
46,992854000,147657800,593504987775.0,normal,49
47,904320000,76224040,614702910790.0,attack,20
48,1002970000,85757630,636333994115.0,attack,23
49,1189000000,18939140,658359545110.0,attack,16
50,1205460000,22645500,680640323735.0,attack,23
