Block ID,Transaction ID,Transaction GAS,Transaction MEV
1,22,97.6678,0
1,85,97.6084,0
1,4,97.4067,0
1,97,97.3005,95.6824
1,17,96.8442,57.7018
1,20,96.7719,0
1,3,96.1044,19.3487
1,39,94.035,32.7759
1,29,93.2065,0
1,71,91.4431,64.1757
2,5,91.2561,41.9319
2,35,90.9627,61.4438
2,37,90.2975,0
2,57,90.0712,87.1293
2,6,89.7461,0
2,49,88.9479,57.2594
2,59,88.6981,31.4846
2,79,87.0815,27.7797
2,38,86.4738,87.5221
2,40,85.8368,33.9534
3,77,85.8248,38.6517
3,54,84.3402,0
3,36,83.1385,15.9509
3,53,82.8018,0
3,80,82.2227,37.2845
3,98,81.8957,88.416
3,42,81.5714,0
3,88,81.3992,94.3994
3,96,80.3882,0
3,45,78.491,69.4264
4,40002,89.4261,0
4,40003,81.7647,2.43373
4,27,78.1066,0
4,31,78.0988,53.335
4,11,77.4481,0
4,61,76.3401,0
4,40004,75.243,0
4,9,73.6673,0
4,13,73.319,44.2673
4,89,73.249,0
5,50011,94.3321,19.8729
5,50005,93.8841,0
5,50009,90.0931,0
5,50008,84.6826,22.7785
5,2,72.4722,0
5,23,72.2121,0
5,16,71.8282,0
5,50010,71.0109,99.9205
5,63,69.4923,0
5,84,67.6213,0
6,60006,96.0488,47.2948
6,60000,86.6335,3.38124
6,60004,84.8676,78.1917
6,60003,76.758,0
6,47,67.3933,78.141
6,83,66.9832,0
6,50001,66.5966,77.3835
6,81,64.4198,31.6717
6,50012,62.3834,0
6,60007,60.7581,25.5435
7,70003,91.2826,55.4214
7,70000,66.1905,0
7,34,60.7212,17.1511
7,82,60.308,0
7,58,59.2412,17.4846
7,50006,58.7506,94.8183
7,70001,58.004,0
7,24,55.8053,24.1546
7,73,55.5356,30.5036
7,1,55.5247,0
8,80005,92.2944,64.703
8,80004,91.0531,0
8,80001,83.5067,0
8,80006,82.6151,9.0691
8,80002,65.0473,0
8,92,55.1091,44.0103
8,32,54.4527,0
8,70007,53.4005,0
8,60,53.2558,0
8,80000,52.4375,79.7046
9,90002,89.387,36.3607
9,33,50.8979,0
9,18,49.5134,19.2796
9,40000,48.8003,3.92941
9,70004,47.9371,0
9,50,44.8815,98.4952
9,-7,44.8715,0
9,99,44.7913,58.0989
9,76,44.6454,8.00364
9,28,44.3914,0
10,100008,96.6904,7.00376
10,100004,85.4513,84.185
10,100006,84.5574,3.21438
10,100009,82.5515,0
10,100001,78.6379,0
10,100007,71.2189,0
10,100002,57.3425,60.5903
10,15,43.9854,0
10,86,43.9537,25.033
10,7,43.6755,10.1074
11,110000,97.5207,51.7424
11,110001,94.0877,93.5279
11,110006,75.9324,44.5222
11,110003,43.7027,35.7099
11,110005,41.3991,19.2874
11,90004,40.8036,0
11,67,40.5851,82.0224
11,-8,40.5751,0
11,80008,40.5349,0
11,64,40.4666,0
12,120008,82.676,0
12,120005,69.7693,1.03864
12,120006,64.4014,0
12,120002,55.6827,0
12,120009,42.3235,84.3797
12,74,40.2926,0
12,55,38.9861,2.54333
12,40001,37.0411,0
12,56,36.84,0
12,90001,36.8271,0
13,130003,99.5861,60.6471
13,130001,51.4359,93.2381
13,130002,51.2628,0
13,75,36.7643,0
13,120001,36.2356,75.1727
13,-14,36.2256,0
13,26,36.1294,78.2296
13,-3,36.1194,0
13,10,34.2625,0
13,21,34.1837,0
14,140004,96.0569,0
14,140010,85.4866,0
14,140011,80.8498,0
14,140008,64.432,56.8575
14,140006,62.1129,19.6978
14,140001,62.0167,0
14,140007,50.6349,0
14,140009,41.3647,0
14,70,33.4196,0
14,6,32.4008,0
15,150003,90.0594,0
15,150004,68.0993,59.706
15,150000,58.4192,43.5763
15,150001,50.2858,0
15,150002,37.4793,27.4415
15,50003,32.3908,83.7311
15,120003,31.8658,0
15,50002,31.5689,36.1379
15,80007,31.5492,78.3091
15,50000,30.9722,0
16,160005,99.4574,0
16,160007,95.9748,0
16,160006,66.6762,79.6837
16,160001,60.7856,16.5827
16,160003,51.1277,17.9306
16,160000,46.0352,0
16,160004,41.3768,0
16,160002,30.0292,0
16,30,29.7782,0
16,43,29.6625,86.0758
17,170009,93.2793,89.9563
17,170001,92.3213,0
17,170008,92.2402,0
17,170000,80.3303,76.2259
17,170002,78.4845,0
17,170006,74.5621,0
17,170005,69.5777,51.5435
17,170003,49.629,0
17,170007,39.5352,0
17,-4,29.6525,0
18,180002,85.0067,0
18,180000,57.3036,89.4872
18,180007,56.1427,0
18,180005,51.5914,43.0697
18,180003,46.8471,80.8616
18,180001,43.607,0
18,180004,31.9839,0
18,52,29.3845,0
18,70002,28.8239,0
18,66,28.1877,48.4966
19,190005,94.1975,0
19,190009,79.2959,89.7929
19,190008,70.007,0.605626
19,190003,66.1395,90.71
19,190006,60.4402,0
19,190001,50.0793,56.4646
19,14,27.6384,54.5356
19,150005,27.4151,93.0329
19,11,27.3221,0
19,100000,27.3121,79.825
